"Manufacturer","Manufacturer (mega)","Make","Model (Carline)","U.S./Canadian Parts (%)","Foreign Parts (%)","Foreign Parts, Other (%)","Engine Origin","Additional country of Origin for Engine/Motor","Transmission Origin","Additional Country of Origin for the Transmission(s)","Final Assembly","Additional Final Assembly Countries","Vehicle Type on Part 567 Certification Label"
"Audi","Volkswagen Group","Audi","e-tron GT",1,"45% Germany + 29% Poland",25,"Poland","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","RS e-tron GT",1,"47% Germany + 26% Poland",26,"Poland","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A3 40 FWD",0,"52% Germany + 15% Hungary",33,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A3 45 AWD",0,"54% Germany",46,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A4 40",1,"52% Germany",47,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A4 45",1,"48% Germany",51,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A4 allroad 45",1,"47% Germany",52,"Hungary","None","Germany","None","Germany","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","A5 Cabriolet 45",1,"60% Germany",39,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A5 Coupe S line 45",1,"50% Germany",49,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A5 Sportback 40",1,"47% Germany + 15% Hungary",37,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A5 Sportback S line 45",1,"50% Germany",49,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A6 45",1,"49% Germany",50,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A6 55",1,"47% Germany + 19% Hungary",33,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A6 allroad",1,"44% Germany + 18% Hungary",37,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A7 55",1,"44% Germany + 19% Hungary",36,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","A8L 55",1,"44% Germany + 20% Hungary",35,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","Q3 40",1,"28% Hungary + 28% Germany",43,"Hungary","None","Japan","None","Hungary","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q3 S line 45",1,"46% Hungary + 24% Germany",29,"Hungary","None","Japan","None","Hungary","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q4 e-tron 40 RWD",0,"93% Germany",7,"Germany","None","Germany","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q4 e-tron 45",1,"86% Germany",13,"Germany","None","Germany","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q4 e-tron 50",0,"94% Germany",6,"Germany","None","Germany","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q4 e-tron 55",1,"87% Germany",12,"Germany","None","Germany","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q4 e-tron Sportback 50",0,"95% Germany",5,"Germany","None","Germany","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q4 e-tron Sportback 55",1,"88% Germany",11,"Germany","None","Germany","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q5 40",2,"70% Mexico + 20% Germany",8,"Hungary","None","Germany","None","Mexico","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q5 S line 45",2,"78% Mexico + 20% Germany",0,"Mexico","None","Germany","None","Mexico","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q5 S line 55 e",1,"51% Mexico + 42% Germany",6,"Hungary","None","Germany","None","Mexico","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q5 Sportback S line 45",2,"78% Mexico + 19% Germany",1,"Mexico","None","Germany","None","Mexico","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q7 45",1,"31% Slovakia + 22% Hungary",46,"Hungary","None","Hungary","None","Slovakia","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q7 55",1,"33% Slovakia + 23% Germany",43,"Hungary","None","Hungary","None","Slovakia","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q8 55",1,"51% Germany + 23% Slovakia",25,"Germany","None","Germany","None","Slovakia","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q8 e-tron 55",1,"53% Hungary + 16% Germany",30,"Hungary","None","Hungary","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q8 e-tron S line",1,"53% Hungary + 16% Germany",30,"Hungary","None","Hungary","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","Q8 e-tron Sportback",1,"53% Hungary + 16% Germany",30,"Hungary","None","Hungary","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","RS3",1,"48% Germany + 27% Hungary",24,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","RS5 Coupe",1,"39% Germany + 30% Hungary",30,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","RS5 Sportback",1,"39% Germany + 31% Hungary",29,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","RS6 Avant",1,"60% Germany",39,"Germany","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","RS7",1,"56% Germany",43,"Germany","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","RS Q8",1,"49% Germany + 26% Slovakia",24,"Germany","None","Germany","None","Slovakia","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","S3",0,"56% Germany",44,"Hungary","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S4",1,"39% Germany + 30% Hungary",30,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S5 Cabriolet",1,"48% Germany + 25% Hungary",26,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S5 Coupe",1,"39% Germany + 30% Hungary",30,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S5 Sportback",1,"41% Germany + 29% Hungary",29,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S6",1,"37% Germany + 26% Hungary",36,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S7",1,"39% Germany + 26% Hungary",34,"Hungary","None","Hungary","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","S8L",1,"63% Germany",36,"Germany","None","Germany","None","Germany","None","Passenger Car"
"Audi","Volkswagen Group","Audi","SQ5",2,"68% Mexico + 21% Hungary",9,"Hungary","None","Hungary","None","Mexico","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","SQ5 Sportback",2,"68% Mexico + 20% Hungary",10,"Hungary","None","Hungary","None","Mexico","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","SQ7",1,"54% Germany + 26% Slovakia",19,"Germany","None","Germany","None","Slovakia","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","SQ8",1,"28% Slovakia + 25% Hungary",46,"Hungary","None","Hungary","None","Slovakia","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","SQ8 e-tron",1,"53% Hungary + 16% Germany",30,"Hungary","None","Hungary","None","Belgium","None","Multipurpose Passenger Vehicle"
"Audi","Volkswagen Group","Audi","SQ8 e-tron Sportback",1,"53% Hungary + 16% Germany",30,"Hungary","None","Hungary","None","Belgium","None","Multipurpose Passenger Vehicle"
"Bentley","Volkswagen Group","Bentley","Bentayga V8",0,"65% Germany",35,"Germany","None","Germany","None","United Kingdom","None","Multipurpose Passenger Vehicle"
"Bentley","Volkswagen Group","Bentley","Bentayga EWB V8",0,"64% Germany",36,"Germany","None","Germany","None","United Kingdom","None","Multipurpose Passenger Vehicle"
"Bentley","Volkswagen Group","Bentley","Bentayga Hybrid",0,"50% Germany",50,"Germany","None","Germany","None","United Kingdom","None","Multipurpose Passenger Vehicle"
"Bentley","Volkswagen Group","Bentley","Continental GT V8",0,"68% Germany + 16% United Kingdom",16,"Germany","None","Germany","None","United Kingdom","None","Passenger Car"
"Bentley","Volkswagen Group","Bentley","Continental GT Convertible V8",0,"65% Germany + 15% United Kingdom",20,"Germany","None","Germany","None","United Kingdom","None","Passenger Car"
